player_code,player_id,first_name,second_name,web_name,team_code,position,source_season
438098,1,Fábio,Ferreira Vieira,Fábio Vieira,3,Midfielder,2024-2025
100051017,735,Mikel,Arteta,Arteta,3,Unknown,2024-2025
616059,756,Jack,Porter,Porter,3,Goalkeeper,2024-2025
538182,790,Jimi,Gower,Gower,3,Midfielder,2024-2025
514307,793,Jack,Henry-Francis,Jack Henry-Francis,3,Midfielder,2024-2025
563324,801,Brayden,Clarke,Clarke,3,Defender,2024-2025
577731,679,Ben,Broggio,Broggio,7,Midfielder,2024-2025
559962,710,Jamaldeen,Jimoh,Jimoh,7,Midfielder,2024-2025
204646,725,Donyell,Malen,Malen,7,Midfielder,2024-2025
606798,731,Andrés,García,A. Garcia,7,Defender,2024-2025
123354,40,Kortney,Hause,Hause,7,Defender,2024-2025
100037568,737,Unai,Emery,Emery,7,Unknown,2024-2025
174292,762,Marco,Asensio,M.Asensio,7,Midfielder,2024-2025
155408,64,Lewis,Cook,Cook,91,Midfielder,2024-2025
441240,66,Romain,Faivre,Faivre,91,Midfielder,2024-2025
223911,72,Chris,Mepham,Mepham,91,Defender,2024-2025
450539,103,Myles,Peart-Harris,Peart-Harris,94,Midfielder,2024-2025
591357,602,Ryan,Trevitt,Trevitt,94,Midfielder,2024-2025
622536,705,Benjamin,Arthur,Arthur,94,Defender,2024-2025
533463,74,Dango,Ouattara,O.Dango,91,Midfielder,2024-2025
168991,76,Philip,Billing,Philip,91,Midfielder,2024-2025
224995,80,Luis,Sinisterra,Sinisterra,91,Midfielder,2024-2025
496683,680,Max,Kinsey,Kinsey,91,Defender,2024-2025
575901,713,Julio,Soler,Soler,91,Defender,2024-2025
432830,88,Nathan,Collins,Collins,94,Defender,2024-2025
626464,634,Gustavo,Nunes Fernandes Gomes,G.Nunes,94,Midfielder,2024-2025
612534,786,Benjamin,Fredrick,Benjamin Fredrick,94,Defender,2024-2025
535301,115,Carlos,Baleba,Baleba,36,Midfielder,2024-2025
543158,116,Valentín,Barco,Barco,36,Defender,2024-2025
612855,127,Ibrahim,Osman,I.Osman,36,Midfielder,2024-2025
232792,131,Tariq,Lamptey,Lamptey,36,Defender,2024-2025
550141,133,Adrian,Mazilu,Mazilu,36,Midfielder,2024-2025
592031,135,Yankuba,Minteh,Minteh,36,Midfielder,2024-2025
450434,143,Deniz,Undav,Undav,36,Forward,2024-2025
176297,385,Marcus,Rashford,Rashford,7,Midfielder,2024-2025
590760,722,Daniel,Adu-Adjei,Adu-Adjei,91,Forward,2024-2025
550596,723,Dominic,Sadi,Sadi,91,Midfielder,2024-2025
568791,727,Callan,McKenna,McKenna,91,Goalkeeper,2024-2025
530121,728,Zain,Silcott-Duberry,Silcott-Duberry,91,Midfielder,2024-2025
100050427,738,Andoni,Iraola,Iraola,91,Unknown,2024-2025
15157,134,James,Milner,Milner,36,Midfielder,2024-2025
441192,141,Jeremy,Sarmiento Morante,Sarmiento,36,Midfielder,2024-2025
606774,707,Remy,Rees-Dottin,Rees-Dottin,91,Forward,2024-2025
541462,712,Matai,Akinmboni,Akinmboni,91,Defender,2024-2025
440089,89,Mikkel,Damsgaard,Damsgaard,94,Midfielder,2024-2025
183656,90,Josh,Dasilva,Dasilva,94,Midfielder,2024-2025
118342,91,Mark,Flekken,Flekken,94,Goalkeeper,2024-2025
194010,92,Rico,Henry,Henry,94,Defender,2024-2025
472713,93,Aaron,Hickey,Hickey,94,Defender,2024-2025
204580,94,Vitaly,Janelt,Janelt,94,Midfielder,2024-2025
570241,96,Kim,Ji-soo,Ji-soo,94,Defender,2024-2025
628204,97,Yunus Emre,Konak,Konak,94,Midfielder,2024-2025
249231,98,Keane,Lewis-Potter,Lewis-Potter,94,Midfielder,2024-2025
446008,99,Bryan,Mbeumo,Mbeumo,94,Midfielder,2024-2025
51927,100,Ben,Mee,Mee,94,Defender,2024-2025
128295,101,Christian,Nørgaard,Nørgaard,94,Midfielder,2024-2025
231065,104,Ethan,Pinnock,Pinnock,94,Defender,2024-2025
226956,105,Mads,Roerslev Rasmussen,Roerslev,94,Defender,2024-2025
513418,106,Kevin,Schade,Schade,94,Midfielder,2024-2025
502500,107,Igor Thiago,Nascimento Rodrigues,Thiago,94,Forward,2024-2025
144485,108,Ivan,Toney,Toney,94,Forward,2024-2025
507433,109,Hákon,Valdimarsson,Valdimarsson,94,Goalkeeper,2024-2025
216646,110,Yoane,Wissa,Wissa,94,Forward,2024-2025
508395,111,Yehor,Yarmoliuk,Yarmoliuk,94,Midfielder,2024-2025
48760,112,Mathias,Jorgensen,Zanka,94,Defender,2024-2025
244858,314,Fábio,Freitas Gouveia Carvalho,Carvalho,94,Midfielder,2024-2025
499717,649,Jayden,Meghoma,Meghoma,94,Defender,2024-2025
592662,661,Tony,Yogane,Yogane,94,Midfielder,2024-2025
220695,674,Paris,Maghoma,Maghoma,94,Midfielder,2024-2025
100042830,752,Thomas,Frank,Frank,94,Unknown,2024-2025
607464,757,Michael,Kayode,Kayode,94,Defender,2024-2025
535017,759,Julian,Eyestone,Eyestone,94,Goalkeeper,2024-2025
533710,780,Iwan,Morgan,Morgan,94,Forward,2024-2025
535818,113,Simon,Adingra,Adingra,36,Midfielder,2024-2025
475480,114,Benicio,Baker-Boaitey,Baker-Boaitey,36,Midfielder,2024-2025
519324,118,Amario,Cozier-Duberry,Cozier-Duberry,36,Midfielder,2024-2025
168090,119,Mahmoud,Dahoud,Dahoud,36,Midfielder,2024-2025
204214,122,Pervis,Estupiñán,Estupiñan,36,Defender,2024-2025
243568,124,Billy,Gilmour,Gilmour,36,Midfielder,2024-2025
60307,125,Pascal,Groß,Gross,36,Midfielder,2024-2025
532529,126,Jack,Hinshelwood,Hinshelwood,36,Midfielder,2024-2025
223434,128,Igor Julio,dos Santos de Paulo,Igor,36,Defender,2024-2025
475168,129,João Pedro,Junqueira de Jesus,João Pedro,36,Forward,2024-2025
484658,130,Kacper,Kozłowski,Kozlowski,36,Midfielder,2024-2025
109345,132,Solly,March,March,36,Midfielder,2024-2025
451340,136,Mitoma,Kaoru,Mitoma,36,Midfielder,2024-2025
243505,137,Jakub,Moder,Moder,36,Midfielder,2024-2025
574402,138,Mark,O’Mahony,O’Mahony,36,Forward,2024-2025
445548,139,Odeluga,Offiah,Offiah,36,Defender,2024-2025
491598,140,Cameron,Peupion,Peupion,36,Midfielder,2024-2025
49262,142,Jason,Steele,Steele,36,Goalkeeper,2024-2025
469142,144,Jan Paul,van Hecke,Van Hecke,36,Defender,2024-2025
111478,145,Joël,Veltman,Veltman,36,Defender,2024-2025
469247,41,Samuel,Iling-Junior,Iling Jr,7,Midfielder,2024-2025
226944,42,Boubacar,Kamara,Kamara,7,Midfielder,2024-2025
465390,43,Kaine,Kesler-Hayden,Kesler-Hayden,7,Defender,2024-2025
199798,44,Ezri,Konsa Ngoyo,Konsa,7,Defender,2024-2025
441302,45,Ian,Maatsen,Maatsen,7,Defender,2024-2025
462381,46,Filip,Marschall,Marschall,7,Goalkeeper,2024-2025
98980,47,Emiliano,Martínez Romero,Martinez,7,Goalkeeper,2024-2025
122806,48,John,McGinn,McGinn,7,Midfielder,2024-2025
149484,49,Tyrone,Mings,Mings,7,Defender,2024-2025
578545,50,Kosta,Nedeljković,Nedeljkovic,7,Defender,2024-2025
111782,51,Robin,Olsen,Olsen,7,Goalkeeper,2024-2025
244954,52,Pau,Torres,Pau,7,Defender,2024-2025
232653,53,Jacob,Ramsey,Ramsey,7,Midfielder,2024-2025
244850,54,Morgan,Rogers,Rogers,7,Midfielder,2024-2025
248164,55,Viljami,Sinisalo,Sinisalo,7,Goalkeeper,2024-2025
514315,56,Lino,da Cruz Sousa,Sousa,7,Defender,2024-2025
178301,58,Ollie,Watkins,Watkins,7,Forward,2024-2025
449871,233,Amadou,Onana,Onana,7,Midfielder,2024-2025
515597,598,Lamare,Bogarde,Bogarde,7,Defender,2024-2025
514287,640,Sil,Swinkels,Swinkels,7,Defender,2024-2025
516159,641,Oliwier,Zych,Zych,7,Goalkeeper,2024-2025
537403,656,Kadan,Young,Young,7,Midfielder,2024-2025
